,Date,Product,Category,Region,Salesperson,Customer_ID,Quantity,Unit_Price,Discount_Rate,Subtotal,Discount_Amount,Total_Amount,Customer_Age,Customer_Satisfaction,Payment_Method,Order_Priority,Month,Year,Quarter,Day_of_Week,Month_Name,Days_Since_Purchase,Revenue_Category,Bulk_Order,CustomerRelation
19,10:43.1,Desktop,Electronics,North,Sales_Person_11,Customer_0030,4,633.46,0.205,2533.83,520.41,2013.42,18,4.5,Bank Transfer,Critical,1,2020,1,Monday,January,1970,Low,No,New
20,11:16.9,Tablet,Electronics,North,Sales_Person_16,Customer_0466,3,362.87,0.046,1088.61,50.59,1038.01,72,3.7,Bank Transfer,Medium,1,2020,1,Monday,January,1969,Very Low,No,New
21,11:50.8,Speaker,Accessories,West,Sales_Person_20,Customer_0099,2,137.75,0.058,275.49,15.96,259.53,36,3.9,Debit Card,Medium,1,2020,1,Tuesday,January,1969,Very Low,No,New
22,12:24.6,Webcam,Accessories,West,Sales_Person_04,Customer_0899,4,107.48,0.169,429.91,72.56,357.35,42,4.5,Bank Transfer,Critical,1,2020,1,Tuesday,January,1969,Very Low,No,New
23,12:58.5,Desktop,Electronics,South,Sales_Person_22,Customer_0190,2,493.53,0.052,987.06,51.76,935.3,58,4,Debit Card,High,1,2020,1,Tuesday,January,1968,Very Low,No,New
24,13:32.3,Speaker,Accessories,Central,Sales_Person_22,Customer_0012,5,128.74,0.245,643.68,158.01,485.67,27,4.6,Credit Card,Medium,1,2020,1,Wednesday,January,1968,Very Low,No,New
25,14:06.2,Monitor,Electronics,North,Sales_Person_23,Customer_0603,4,289.16,0.143,1156.62,164.93,991.7,59,2.3,Cash,High,1,2020,1,Wednesday,January,1968,Very Low,No,New
26,14:40.0,Laptop,Electronics,West,Sales_Person_17,Customer_0030,2,977.79,0.207,1955.57,404.53,1551.04,26,2.6,Debit Card,Critical,1,2020,1,Wednesday,January,1968,Low,No,New
27,15:13.9,Speaker,Accessories,North,Sales_Person_13,Customer_0725,5,96.58,0.096,482.92,46.37,436.55,29,4.9,Credit Card,Medium,1,2020,1,Wednesday,January,1967,Very Low,No,New
28,15:47.7,Printer,Accessories,South,Sales_Person_11,Customer_0038,1,161.4,0.1,161.4,16.08,145.31,22,4,Debit Card,Medium,1,2020,1,Thursday,January,1967,Very Low,No,New
29,16:21.6,Webcam,Accessories,South,Sales_Person_03,Customer_0853,3,66.36,0.127,199.08,25.27,173.81,25,3.3,Bank Transfer,Medium,1,2020,1,Thursday,January,1967,Very Low,No,New
30,16:55.4,Speaker,Accessories,Central,Sales_Person_09,Customer_0572,4,140.89,0.209,563.54,117.78,445.76,72,3,Bank Transfer,Low,1,2020,1,Thursday,January,1966,Very Low,No,New
31,17:29.2,Phone,Electronics,Central,Sales_Person_06,Customer_0294,3,412.04,0.049,1236.12,60.15,1175.98,51,4.2,Cash,Low,1,2020,1,Friday,January,1966,Very Low,No,New
32,18:03.1,Laptop,Electronics,South,Sales_Person_22,Customer_0360,3,1023.49,0.185,3070.46,567,2503.46,29,5,Debit Card,Low,1,2020,1,Friday,January,1966,Low,No,New
33,18:36.9,Scanner,Accessories,West,Sales_Person_21,Customer_0655,1,154.32,0.034,154.32,5.31,149.01,43,4.6,Cash,Medium,1,2020,1,Friday,January,1965,Very Low,No,New
34,19:10.8,Scanner,Accessories,North,Sales_Person_11,Customer_0914,5,192.55,0.225,962.73,216.97,745.76,55,4.3,Credit Card,Low,1,2020,1,Friday,January,1965,Very Low,No,New
35,19:44.6,Printer,Accessories,East,Sales_Person_16,Customer_0180,4,222.62,0.139,890.48,124.12,766.37,31,4.2,Credit Card,Medium,1,2020,1,Saturday,January,1965,Very Low,No,New
36,20:18.5,Speaker,Accessories,Central,Sales_Person_19,Customer_0797,2,100.41,0.133,200.81,26.73,174.08,57,4.5,Cash,Low,1,2020,1,Saturday,January,1965,Very Low,No,New
37,20:52.3,Speaker,Accessories,East,Sales_Person_05,Customer_0112,5,102.67,0.228,513.35,116.99,396.36,72,4.2,Bank Transfer,Low,1,2020,1,Saturday,January,1964,Very Low,No,New
38,21:26.2,Mouse,Accessories,West,Sales_Person_14,Customer_0742,6,29.98,0.134,179.86,24.12,155.74,65,3.8,Debit Card,High,1,2020,1,Sunday,January,1964,Very Low,No,New
39,22:00.0,Speaker,Accessories,Central,Sales_Person_17,Customer_0444,5,92.4,0.233,462.02,107.64,354.38,53,2.4,Bank Transfer,Medium,1,2020,1,Sunday,January,1964,Very Low,No,New
40,22:33.9,Headphones,Accessories,East,Sales_Person_03,Customer_0021,4,74.45,0.057,297.79,16.95,280.84,43,2.3,Debit Card,Low,1,2020,1,Sunday,January,1963,Very Low,No,New
41,23:07.7,Keyboard,Accessories,West,Sales_Person_04,Customer_0145,18,55.31,0.142,995.5,140.96,854.54,74,2.8,Cash,Medium,1,2020,1,Sunday,January,1963,Very Low,Yes,New
42,23:41.6,Phone,Electronics,North,Sales_Person_16,Customer_0499,4,556.58,0.082,2226.33,183.18,2043.15,55,3.5,Credit Card,Medium,1,2020,1,Monday,January,1963,Low,No,New
43,24:15.4,Mouse,Accessories,West,Sales_Person_16,Customer_0146,8,34.56,0.046,276.52,12.63,263.89,24,4,Debit Card,High,1,2020,1,Monday,January,1963,Very Low,No,New
44,24:49.3,Monitor,Electronics,Central,Sales_Person_21,Customer_0441,2,327.5,0.235,655,153.74,501.26,65,2.9,Debit Card,Low,1,2020,1,Monday,January,1962,Very Low,No,New
45,25:23.1,Mouse,Accessories,South,Sales_Person_25,Customer_0887,9,24.33,0.011,219.01,2.43,216.59,58,4.4,Bank Transfer,Medium,1,2020,1,Tuesday,January,1962,Very Low,No,New
46,25:57.0,Headphones,Accessories,North,Sales_Person_04,Customer_0421,3,88.43,0.074,265.3,19.58,245.71,66,3.3,Debit Card,Medium,1,2020,1,Tuesday,January,1962,Very Low,No,New
47,26:30.8,Monitor,Electronics,East,Sales_Person_19,Customer_0316,3,333.88,0.217,1001.65,217.31,784.33,69,2.3,Cash,High,1,2020,1,Tuesday,January,1961,Very Low,No,New
48,27:04.6,Phone,Electronics,Central,Sales_Person_17,Customer_0166,2,412.44,0.218,824.89,179.96,644.93,49,2.7,Debit Card,Low,1,2020,1,Wednesday,January,1961,Very Low,No,New
49,27:38.5,Headphones,Accessories,South,Sales_Person_13,Customer_0652,2,83.95,0.008,167.89,1.35,166.54,30,4,Bank Transfer,High,1,2020,1,Wednesday,January,1961,Very Low,No,New
50,28:12.3,Desktop,Electronics,West,Sales_Person_22,Customer_0203,5,821.21,0.147,4106.05,604.09,3501.96,53,4.4,Credit Card,Medium,1,2020,1,Wednesday,January,1961,Medium,No,New
51,28:46.2,Keyboard,Accessories,South,Sales_Person_23,Customer_0496,15,56.03,0.201,840.4,169.34,671.07,40,4.9,Credit Card,Critical,1,2020,1,Wednesday,January,1960,Very Low,Yes,New
52,29:20.0,Phone,Electronics,Central,Sales_Person_24,Customer_0756,2,517.49,0.04,1034.99,41.58,993.4,59,2.2,Cash,Medium,1,2020,1,Thursday,January,1960,Very Low,No,New
53,29:53.9,Speaker,Accessories,Central,Sales_Person_01,Customer_0625,4,101.6,0.219,406.41,89.07,317.34,59,3.9,Credit Card,High,1,2020,1,Thursday,January,1960,Very Low,No,New
54,30:27.7,Desktop,Electronics,South,Sales_Person_12,Customer_0468,1,633.71,0.235,633.71,148.61,485.1,29,2.5,Debit Card,High,1,2020,1,Thursday,January,1959,Very Low,No,New
55,31:01.6,Printer,Accessories,West,Sales_Person_04,Customer_0713,1,211.92,0.002,211.92,0.38,211.54,32,2.8,Bank Transfer,Low,1,2020,1,Friday,January,1959,Very Low,No,New
56,31:35.4,Phone,Electronics,South,Sales_Person_11,Customer_0385,2,564.65,0.141,1129.3,159.66,969.65,51,3.9,Cash,High,1,2020,1,Friday,January,1959,Very Low,No,New
57,32:09.3,Printer,Accessories,Central,Sales_Person_05,Customer_0314,4,209.64,0.03,838.54,25.48,813.06,63,4.4,Credit Card,Low,1,2020,1,Friday,January,1958,Very Low,No,New
58,32:43.1,Monitor,Electronics,Central,Sales_Person_02,Customer_0771,2,432.63,0.182,865.27,157.11,708.16,22,4.6,Cash,Low,1,2020,1,Friday,January,1958,Very Low,No,New
59,33:17.0,Desktop,Electronics,East,Sales_Person_17,Customer_0255,5,599.71,0.209,2998.54,626.97,2371.57,21,4.1,Debit Card,High,1,2020,1,Saturday,January,1958,Low,No,New
60,33:50.8,Keyboard,Accessories,East,Sales_Person_08,Customer_0959,2,52.13,0.051,104.25,5.34,98.91,63,3,Debit Card,Low,1,2020,1,Saturday,January,1958,Very Low,No,New
61,34:24.7,Speaker,Accessories,North,Sales_Person_06,Customer_0917,5,143.2,0.105,715.99,75.37,640.62,63,4.9,Cash,Medium,1,2020,1,Saturday,January,1957,Very Low,No,New
62,34:58.5,Speaker,Accessories,Central,Sales_Person_21,Customer_0023,1,100.67,0.098,100.67,9.91,90.75,35,4.2,Cash,Low,1,2020,1,Sunday,January,1957,Very Low,No,New
63,35:32.3,Headphones,Accessories,East,Sales_Person_09,Customer_0905,5,64.45,0.204,322.26,65.89,256.37,32,4.5,Credit Card,Medium,1,2020,1,Sunday,January,1957,Very Low,No,New
64,36:06.2,Speaker,Accessories,South,Sales_Person_13,Customer_0758,4,80.25,0.223,321.01,71.69,249.32,49,3.9,Debit Card,High,1,2020,1,Sunday,January,1956,Very Low,No,New
65,36:40.0,Tablet,Electronics,West,Sales_Person_11,Customer_0339,4,325.38,0.073,1301.54,95.03,1206.51,25,4.9,Credit Card,Low,1,2020,1,Sunday,January,1956,Very Low,No,New
66,37:13.9,Mouse,Accessories,South,Sales_Person_16,Customer_0493,15,32.84,0.087,492.64,42.73,449.91,35,3.6,Bank Transfer,Low,1,2020,1,Monday,January,1956,Very Low,Yes,New
67,37:47.7,Laptop,Electronics,West,Sales_Person_16,Customer_0823,3,808.2,0.149,2424.61,361.23,2063.38,42,3,Bank Transfer,Medium,1,2020,1,Monday,January,1956,Low,No,New
68,38:21.6,Keyboard,Accessories,East,Sales_Person_02,Customer_0511,4,46.66,0.143,186.64,26.7,159.94,19,4.6,Bank Transfer,Low,1,2020,1,Monday,January,1955,Very Low,No,New
69,38:55.4,Desktop,Electronics,North,Sales_Person_10,Customer_0366,3,892.68,0.195,2678.03,522.84,2155.19,61,2.6,Cash,Medium,1,2020,1,Tuesday,January,1955,Low,No,New
70,39:29.3,Tablet,Electronics,South,Sales_Person_12,Customer_0372,3,386.45,0.236,1159.34,273.77,885.58,63,2.5,Cash,Medium,1,2020,1,Tuesday,January,1955,Very Low,No,New
71,40:03.1,Keyboard,Accessories,South,Sales_Person_08,Customer_0915,4,70.51,0.094,282.02,26.5,255.52,29,4.4,Bank Transfer,Low,1,2020,1,Tuesday,January,1954,Very Low,No,New
72,40:37.0,Desktop,Electronics,South,Sales_Person_11,Customer_0830,2,777.76,0.061,1555.52,95.34,1460.19,58,2.5,Bank Transfer,Medium,1,2020,1,Wednesday,January,1954,Low,No,New
73,41:10.8,Webcam,Accessories,West,Sales_Person_10,Customer_0599,2,89.1,0.138,178.2,24.58,153.62,44,4.1,Cash,Medium,1,2020,1,Wednesday,January,1954,Very Low,No,New
74,41:44.7,Webcam,Accessories,East,Sales_Person_13,Customer_0219,3,85.98,0.049,257.95,12.53,245.42,37,4.2,Debit Card,Medium,1,2020,1,Wednesday,January,1954,Very Low,No,New
75,42:18.5,Printer,Accessories,South,Sales_Person_25,Customer_0475,3,177.39,0.242,532.16,128.55,403.61,45,2.8,Cash,Critical,1,2020,1,Wednesday,January,1953,Very Low,No,New
76,42:52.4,Keyboard,Accessories,South,Sales_Person_17,Customer_0423,16,74.91,0.214,1198.55,256.91,941.64,26,4.1,Cash,High,1,2020,1,Thursday,January,1953,Very Low,Yes,New
77,43:26.2,Webcam,Accessories,North,Sales_Person_07,Customer_0356,4,74.81,0.079,299.23,23.77,275.46,30,3.3,Credit Card,Low,1,2020,1,Thursday,January,1953,Very Low,No,New
78,44:00.0,Desktop,Electronics,North,Sales_Person_24,Customer_0460,5,607.16,0.216,3035.79,656.34,2379.45,60,4.4,Debit Card,Low,1,2020,1,Thursday,January,1952,Low,No,New
79,44:33.9,Printer,Accessories,East,Sales_Person_03,Customer_0503,2,166.26,0.013,332.52,4.47,328.05,68,4.7,Debit Card,High,1,2020,1,Friday,January,1952,Very Low,No,New
80,45:07.7,Speaker,Accessories,East,Sales_Person_20,Customer_0027,1,130.21,0.215,130.21,27.97,102.24,20,3,Credit Card,Medium,1,2020,1,Friday,January,1952,Very Low,No,New
81,45:41.6,Desktop,Electronics,Central,Sales_Person_13,Customer_0942,1,820.74,0.013,820.74,10.8,809.94,54,2.6,Credit Card,Medium,1,2020,1,Friday,January,1951,Very Low,No,New
82,46:15.4,Printer,Accessories,North,Sales_Person_19,Customer_0802,2,164.71,0.016,329.41,5.26,324.15,38,4.2,Credit Card,Medium,1,2020,1,Friday,January,1951,Very Low,No,New
83,46:49.3,Keyboard,Accessories,Central,Sales_Person_07,Customer_0801,7,54.16,0.238,379.14,90.42,288.73,24,3.4,Bank Transfer,Critical,1,2020,1,Saturday,January,1951,Very Low,No,New
84,47:23.1,Tablet,Electronics,West,Sales_Person_09,Customer_0860,3,430.86,0.153,1292.57,197.85,1094.72,68,3.6,Cash,Medium,1,2020,1,Saturday,January,1951,Very Low,No,New
85,47:57.0,Headphones,Accessories,Central,Sales_Person_19,Customer_0223,3,97.18,0.249,291.53,72.53,219,55,4,Bank Transfer,High,1,2020,1,Saturday,January,1950,Very Low,No,New
86,48:30.8,Speaker,Accessories,South,Sales_Person_13,Customer_0864,4,109.63,0.192,438.52,84.05,354.47,35,3.1,Bank Transfer,Critical,1,2020,1,Sunday,January,1950,Very Low,No,New
87,49:04.7,Phone,Electronics,Central,Sales_Person_22,Customer_0690,3,459.4,0.007,1378.2,9.85,1368.35,55,2.7,Debit Card,Critical,1,2020,1,Sunday,January,1950,Very Low,No,New
88,49:38.5,Tablet,Electronics,East,Sales_Person_08,Customer_0148,1,336.31,0.114,336.31,38.41,297.89,71,4.1,Cash,Low,1,2020,1,Sunday,January,1949,Very Low,No,New
89,50:12.4,Monitor,Electronics,West,Sales_Person_22,Customer_0424,3,250.96,0.16,752.88,120.4,632.48,18,2.6,Credit Card,Critical,1,2020,1,Sunday,January,1949,Very Low,No,New
90,50:46.2,Desktop,Electronics,South,Sales_Person_18,Customer_0739,1,563.56,0.037,563.56,20.85,542.71,48,3.7,Debit Card,Low,1,2020,1,Monday,January,1949,Very Low,No,New
91,51:20.1,Monitor,Electronics,Central,Sales_Person_23,Customer_0351,5,328.83,0.187,1644.17,306.72,1337.45,67,2.4,Bank Transfer,Medium,1,2020,1,Monday,January,1949,Very Low,No,New
92,51:53.9,Tablet,Electronics,West,Sales_Person_02,Customer_0186,1,551.44,0.094,551.44,51.65,499.78,69,2.1,Credit Card,Low,1,2020,1,Monday,January,1948,Very Low,No,New
93,52:27.7,Printer,Accessories,West,Sales_Person_18,Customer_0415,4,279.5,0.151,1117.99,168.3,949.69,24,4.4,Debit Card,Medium,1,2020,1,Tuesday,January,1948,Very Low,No,New
94,53:01.6,Phone,Electronics,South,Sales_Person_18,Customer_0806,4,414.15,0.25,1656.61,413.45,1243.16,71,3.7,Debit Card,Low,1,2020,1,Tuesday,January,1948,Very Low,No,New
95,53:35.4,Speaker,Accessories,Central,Sales_Person_11,Customer_0982,4,126.27,0.212,505.09,107.07,398.02,33,3.3,Debit Card,Low,1,2020,1,Tuesday,January,1947,Very Low,No,New
96,54:09.3,Speaker,Accessories,West,Sales_Person_01,Customer_0429,5,127.18,0.119,635.91,75.62,560.29,65,3.5,Bank Transfer,Medium,1,2020,1,Wednesday,January,1947,Very Low,No,New
97,54:43.1,Speaker,Accessories,West,Sales_Person_14,Customer_0041,2,122.9,0.084,245.8,20.74,225.06,36,3.6,Debit Card,Critical,1,2020,1,Wednesday,January,1947,Very Low,No,New
98,55:17.0,Phone,Electronics,North,Sales_Person_16,Customer_0905,5,450.46,0,2252.29,0.8,2251.49,62,3.8,Bank Transfer,Critical,1,2020,1,Wednesday,January,1946,Low,No,New
99,55:50.8,Laptop,Electronics,West,Sales_Person_11,Customer_0393,5,842.43,0.095,4212.14,401.93,3810.21,40,2.2,Cash,Low,1,2020,1,Wednesday,January,1946,Medium,No,New
100,56:24.7,Phone,Electronics,North,Sales_Person_01,Customer_0703,4,463.09,0.172,1852.34,318.5,1533.85,59,3.6,Bank Transfer,Medium,1,2020,1,Thursday,January,1946,Low,No,New
101,56:58.5,Headphones,Accessories,Central,Sales_Person_07,Customer_0079,5,79.95,0.186,399.77,74.42,325.35,70,2.5,Cash,Critical,1,2020,1,Thursday,January,1946,Very Low,No,New
102,57:32.4,Phone,Electronics,Central,Sales_Person_16,Customer_0717,2,724.12,0.243,1448.24,352.02,1096.23,63,2.4,Bank Transfer,High,1,2020,1,Thursday,January,1945,Very Low,No,New
103,58:06.2,Tablet,Electronics,Central,Sales_Person_14,Customer_0896,2,446.88,0.12,893.76,107.66,786.1,34,4.5,Cash,Medium,1,2020,1,Friday,January,1945,Very Low,No,New
104,58:40.1,Laptop,Electronics,East,Sales_Person_15,Customer_0790,2,808.71,0.045,1617.42,72.52,1544.89,73,2,Bank Transfer,Low,1,2020,1,Friday,January,1945,Low,No,New
105,59:13.9,Speaker,Accessories,Central,Sales_Person_14,Customer_0784,1,135.6,0.112,135.6,15.21,120.4,66,4.3,Debit Card,Medium,1,2020,1,Friday,January,1944,Very Low,No,New
106,59:47.8,Tablet,Electronics,West,Sales_Person_21,Customer_0544,1,452.33,0.085,452.33,38.52,413.81,54,2.4,Bank Transfer,Low,1,2020,1,Friday,January,1944,Very Low,No,New
107,00:21.6,Tablet,Electronics,South,Sales_Person_11,Customer_0450,3,562.25,0.125,1686.74,210.59,1476.15,40,4.3,Debit Card,Medium,2,2020,1,Saturday,February,1944,Low,No,New
108,00:55.5,Scanner,Accessories,North,Sales_Person_16,Customer_0474,1,145.93,0.124,145.93,18.03,127.89,47,3.2,Debit Card,High,2,2020,1,Saturday,February,1944,Very Low,No,New
109,01:29.3,Mouse,Accessories,East,Sales_Person_19,Customer_0142,9,25.44,0.047,228.99,10.84,218.15,55,3,Cash,High,2,2020,1,Saturday,February,1943,Very Low,No,New
110,02:03.1,Laptop,Electronics,Central,Sales_Person_17,Customer_0251,2,816.02,0.026,1632.03,41.7,1590.33,66,4.2,Bank Transfer,Low,2,2020,1,Sunday,February,1943,Low,No,New
111,02:37.0,Tablet,Electronics,Central,Sales_Person_06,Customer_0294,5,367.4,0.239,1836.98,438.19,1398.79,48,2.7,Debit Card,Low,2,2020,1,Sunday,February,1943,Low,No,New
112,03:10.8,Mouse,Accessories,South,Sales_Person_11,Customer_0610,14,23.71,0.239,331.94,79.38,252.56,52,2.6,Debit Card,Low,2,2020,1,Sunday,February,1942,Very Low,Yes,New
113,03:44.7,Mouse,Accessories,South,Sales_Person_17,Customer_0136,15,35.92,0.104,538.75,56.01,482.75,41,4.6,Debit Card,High,2,2020,1,Monday,February,1942,Very Low,Yes,New
114,04:18.5,Laptop,Electronics,East,Sales_Person_09,Customer_0484,5,947.73,0.163,4738.66,774.54,3964.12,49,3.9,Debit Card,Critical,2,2020,1,Monday,February,1942,Medium,No,New
115,04:52.4,Scanner,Accessories,North,Sales_Person_18,Customer_0789,4,191.23,0.053,764.94,40.72,724.22,35,3.7,Debit Card,Low,2,2020,1,Monday,February,1942,Very Low,No,New
116,05:26.2,Monitor,Electronics,Central,Sales_Person_17,Customer_0312,2,289.25,0.036,578.51,21.1,557.41,67,3,Credit Card,Low,2,2020,1,Monday,February,1941,Very Low,No,New
117,06:00.1,Printer,Accessories,East,Sales_Person_12,Customer_0814,5,229.29,0.194,1146.46,221.98,924.48,70,2.2,Credit Card,Low,2,2020,1,Tuesday,February,1941,Very Low,No,New
118,06:33.9,Headphones,Accessories,West,Sales_Person_23,Customer_0555,5,79.8,0.122,399,48.71,350.29,47,4.3,Cash,Low,2,2020,1,Tuesday,February,1941,Very Low,No,New
119,07:07.8,Printer,Accessories,West,Sales_Person_22,Customer_0632,2,234.36,0.192,468.72,90.02,378.7,29,2.7,Cash,Critical,2,2020,1,Tuesday,February,1940,Very Low,No,New
120,07:41.6,Phone,Electronics,East,Sales_Person_22,Customer_0732,4,541.93,0.198,2167.73,428.48,1739.25,51,4.8,Debit Card,Low,2,2020,1,Wednesday,February,1940,Low,No,New
121,08:15.5,Speaker,Accessories,Central,Sales_Person_05,Customer_0046,2,104.86,0.192,209.72,40.29,169.42,56,2.7,Cash,High,2,2020,1,Wednesday,February,1940,Very Low,No,New
122,08:49.3,Headphones,Accessories,East,Sales_Person_11,Customer_0236,5,116.05,0.173,580.26,100.59,479.67,27,4.5,Credit Card,Medium,2,2020,1,Wednesday,February,1939,Very Low,No,New
123,09:23.2,Phone,Electronics,Central,Sales_Person_04,Customer_0048,4,666.76,0.05,2667.04,132.99,2534.05,69,4.2,Debit Card,High,2,2020,1,Wednesday,February,1939,Low,No,New
124,09:57.0,Tablet,Electronics,South,Sales_Person_04,Customer_0198,1,570.51,0.002,570.51,1.27,569.24,32,3.8,Credit Card,Low,2,2020,1,Thursday,February,1939,Very Low,No,New
125,10:30.8,Speaker,Accessories,East,Sales_Person_03,Customer_0084,5,107.72,0.108,538.58,58.17,480.41,55,2.4,Bank Transfer,Critical,2,2020,1,Thursday,February,1939,Very Low,No,New
126,11:04.7,Desktop,Electronics,Central,Sales_Person_24,Customer_0543,3,675.1,0.044,2025.31,88.31,1937,33,2.9,Debit Card,Low,2,2020,1,Thursday,February,1938,Low,No,New
127,11:38.5,Laptop,Electronics,East,Sales_Person_23,Customer_0161,5,913.47,0.238,4567.35,1085.71,3481.64,49,2.5,Credit Card,Medium,2,2020,1,Friday,February,1938,Medium,No,New
128,12:12.4,Headphones,Accessories,East,Sales_Person_25,Customer_0428,5,116.81,0.15,584.03,87.46,496.57,73,3.6,Cash,Low,2,2020,1,Friday,February,1938,Very Low,No,New
129,12:46.2,Headphones,Accessories,Central,Sales_Person_17,Customer_0071,4,65.95,0.1,263.78,26.29,237.49,50,3.6,Credit Card,Critical,2,2020,1,Friday,February,1937,Very Low,No,New
130,13:20.1,Tablet,Electronics,Central,Sales_Person_07,Customer_0520,2,430.78,0.029,861.56,24.9,836.66,44,4.5,Cash,Low,2,2020,1,Friday,February,1937,Very Low,No,New
131,13:53.9,Monitor,Electronics,North,Sales_Person_04,Customer_0969,4,245.9,0.128,983.61,125.93,857.68,34,3.1,Cash,Medium,2,2020,1,Saturday,February,1937,Very Low,No,New
132,14:27.8,Mouse,Accessories,East,Sales_Person_23,Customer_0898,8,22.29,0.114,178.34,20.34,158,65,4.5,Cash,Low,2,2020,1,Saturday,February,1937,Very Low,No,New
133,15:01.6,Speaker,Accessories,West,Sales_Person_13,Customer_0913,2,120.84,0.103,241.68,24.86,216.81,72,2.9,Credit Card,Low,2,2020,1,Saturday,February,1936,Very Low,No,New
134,15:35.5,Tablet,Electronics,East,Sales_Person_12,Customer_0052,2,399.21,0.131,798.42,104.65,693.77,44,4.4,Credit Card,Low,2,2020,1,Sunday,February,1936,Very Low,No,New
135,16:09.3,Webcam,Accessories,East,Sales_Person_01,Customer_0045,3,76.05,0.181,228.16,41.29,186.88,30,3.5,Debit Card,Low,2,2020,1,Sunday,February,1936,Very Low,No,New
136,16:43.2,Scanner,Accessories,Central,Sales_Person_21,Customer_0293,3,184.89,0.081,554.68,44.71,509.97,57,2.9,Credit Card,Medium,2,2020,1,Sunday,February,1935,Very Low,No,New
